               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.019994,           0.0079975,           0.0068387,             0.99686,                   1,               0.995,             0.70354,            0.013291,           0.0034366,           0.0008152,           0.0076438,           0.0076438,           0.0076438
                 121,            0.020779,           0.0083723,           0.0070487,             0.99766,                   1,               0.995,             0.82105,            0.013542,           0.0034281,          0.00080614,            0.007624,            0.007624,            0.007624
                 122,            0.028702,           0.0095745,            0.011013,             0.99649,                   1,               0.995,             0.77386,            0.011022,           0.0031804,          0.00079832,           0.0076042,           0.0076042,           0.0076042
                 123,             0.02105,           0.0081628,           0.0092129,             0.99643,                   1,               0.995,             0.75977,            0.013542,           0.0032991,          0.00078459,           0.0075844,           0.0075844,           0.0075844
                 124,            0.026934,           0.0079734,            0.010679,              0.9954,                   1,               0.995,             0.69386,            0.016036,            0.003258,          0.00081921,           0.0075646,           0.0075646,           0.0075646
                 125,            0.024305,           0.0082721,           0.0089584,             0.99367,             0.99999,               0.995,             0.80192,            0.011129,           0.0031456,          0.00090218,           0.0075448,           0.0075448,           0.0075448
                 126,            0.022295,           0.0080582,           0.0059307,              0.9932,                   1,               0.995,             0.74039,            0.014304,           0.0032423,          0.00096359,            0.007525,            0.007525,            0.007525
                 127,            0.023976,           0.0084664,             0.00697,             0.98829,              0.9984,               0.995,             0.76939,            0.011877,           0.0033432,           0.0012123,           0.0075052,           0.0075052,           0.0075052
                 128,            0.025714,           0.0070642,           0.0053173,             0.98405,              0.9946,               0.995,             0.70775,            0.012743,           0.0030974,           0.0013903,           0.0074854,           0.0074854,           0.0074854
                 129,            0.022892,           0.0079001,           0.0080873,             0.94773,             0.98693,               0.995,             0.70393,            0.016081,            0.003251,           0.0024479,           0.0074656,           0.0074656,           0.0074656
                 130,            0.024889,           0.0075357,           0.0066836,             0.96019,             0.98455,               0.995,               0.733,            0.013761,           0.0030729,           0.0027275,           0.0074458,           0.0074458,           0.0074458
                 131,            0.024799,           0.0091362,           0.0071706,             0.97157,             0.98637,               0.995,             0.76972,            0.012046,           0.0030588,           0.0023701,            0.007426,            0.007426,            0.007426
                 132,            0.022775,           0.0086056,           0.0093148,             0.99087,              0.9985,               0.995,             0.81092,            0.010174,           0.0028512,           0.0011562,           0.0074062,           0.0074062,           0.0074062
                 133,             0.02174,           0.0077761,           0.0062985,             0.99573,                   1,               0.995,             0.76128,            0.012117,           0.0030243,          0.00097132,           0.0073864,           0.0073864,           0.0073864
                 134,            0.023073,           0.0082194,           0.0062994,             0.99414,                   1,               0.995,             0.84931,             0.01114,           0.0028697,           0.0010431,           0.0073666,           0.0073666,           0.0073666
                 135,            0.020745,           0.0075571,           0.0094231,             0.99497,                   1,               0.995,             0.55473,            0.015619,           0.0031718,          0.00099945,           0.0073468,           0.0073468,           0.0073468
                 136,            0.024726,           0.0084118,            0.010948,             0.99588,                   1,               0.995,              0.7611,            0.010869,           0.0027865,          0.00093222,            0.007327,            0.007327,            0.007327
                 137,            0.021024,           0.0072309,           0.0054487,             0.99361,             0.99867,               0.995,             0.56228,            0.017138,           0.0033505,          0.00098028,           0.0073072,           0.0073072,           0.0073072
                 138,             0.02363,           0.0081856,           0.0037755,             0.99689,             0.98885,               0.995,             0.80774,            0.010067,           0.0028664,           0.0011752,           0.0072874,           0.0072874,           0.0072874
