Frame Number,Timestamp,Vehicle ID,Vehicle BBox,Plate BBox,Plate Text,Plate Confidence,Vehicle Image Path,Plate Image Path
154,00:00:02,1,"(1, 0, 288, 225)","(0, 125, 145, 180)",BR01EZ2264,0.7383526566938795,E:/github/license_plate_detections/vehicle_image/154_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/154_1_plate_rotated.jpg
154,00:00:02,2,"(359, 0, 846, 192)","(695, 79, 814, 123)",GJ06PH1816,0.44972526692445103,E:/github/license_plate_detections/vehicle_image/154_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/154_2_plate_rotated.jpg
155,00:00:02,1,"(1, 0, 280, 225)","(0, 126, 135, 181)",BR01EZ2264,0.9682221411337919,E:/github/license_plate_detections/vehicle_image/155_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/155_1_plate_rotated.jpg
155,00:00:02,2,"(351, 0, 847, 192)","(686, 79, 803, 123)",GJ06P81816,0.3212176022104242,E:/github/license_plate_detections/vehicle_image/155_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/155_2_plate_rotated.jpg
156,00:00:02,2,"(344, 0, 847, 192)","(677, 79, 795, 122)",GJ06P81816,0.3447678409004699,E:/github/license_plate_detections/vehicle_image/156_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/156_2_plate_rotated.jpg
157,00:00:02,2,"(330, 0, 838, 192)","(660, 78, 777, 122)",GJ06P81816,0.4036375590246297,E:/github/license_plate_detections/vehicle_image/157_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/157_2_plate_rotated.jpg
158,00:00:02,2,"(330, 0, 838, 192)","(660, 78, 777, 122)",GJ06P81816,0.4036375590246297,E:/github/license_plate_detections/vehicle_image/158_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/158_2_plate_rotated.jpg
159,00:00:02,2,"(324, 0, 830, 193)","(653, 79, 769, 122)",GJ06PN1816,0.3195083701968024,E:/github/license_plate_detections/vehicle_image/159_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/159_2_plate_rotated.jpg
160,00:00:02,2,"(312, 0, 818, 194)","(640, 79, 756, 123)",GJ06P81816,0.6140933370930259,E:/github/license_plate_detections/vehicle_image/160_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/160_2_plate_rotated.jpg
161,00:00:02,2,"(312, 0, 818, 194)","(640, 79, 756, 123)",GJ06P81816,0.6140933370930259,E:/github/license_plate_detections/vehicle_image/161_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/161_2_plate_rotated.jpg
163,00:00:02,2,"(301, 0, 802, 194)","(626, 79, 740, 123)",GJ06P81816,0.3791492083743608,E:/github/license_plate_detections/vehicle_image/163_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/163_2_plate_rotated.jpg
166,00:00:02,2,"(287, 0, 785, 198)","(608, 81, 724, 125)",GJ06PH1816,0.14797022988937175,E:/github/license_plate_detections/vehicle_image/166_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/166_2_plate_rotated.jpg
167,00:00:02,2,"(282, 0, 779, 199)","(603, 81, 718, 126)",GJ06P81816,0.3681859434111175,E:/github/license_plate_detections/vehicle_image/167_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/167_2_plate_rotated.jpg
